(('obs0:0', 'obs1:0'), 0):   112.0 
(('obs0:0', 'obs1:0'), 1):   -9.0 
(('obs0:0', 'obs1:1'), 0):   -9.0 
(('obs0:0', 'obs1:1'), 1):   61.0 
(('obs0:0', 'obs1:2'), 0):   80.0 
(('obs0:0', 'obs1:2'), 1):   1.0 
(('obs0:0', 'obs1:3'), 0):   -9.0 
(('obs0:0', 'obs1:3'), 1):   97.0 
(('obs0:0', 'obs1:4'), 0):   95.0 
(('obs0:0', 'obs1:4'), 1):   -9.0 
(('obs0:0', 'obs1:5'), 0):   -9.0 
(('obs0:0', 'obs1:5'), 1):   108.0 
(('obs0:0', 'obs1:6'), 0):   108.0 
(('obs0:0', 'obs1:6'), 1):   -9.0 
(('obs0:0', 'obs1:7'), 0):   1.0 
(('obs0:0', 'obs1:7'), 1):   99.0 
(('obs0:0', 'obs1:8'), 0):   105.0 
(('obs0:0', 'obs1:8'), 1):   -9.0 
(('obs0:0', 'obs1:9'), 0):   -9.0 
(('obs0:0', 'obs1:9'), 1):   113.0 
(('obs0:1', 'obs1:0'), 0):   -9.0 
(('obs0:1', 'obs1:0'), 1):   116.0 
(('obs0:1', 'obs1:1'), 0):   89.0 
(('obs0:1', 'obs1:1'), 1):   -9.0 
(('obs0:1', 'obs1:2'), 0):   -9.0 
(('obs0:1', 'obs1:2'), 1):   96.0 
(('obs0:1', 'obs1:3'), 0):   100.0 
(('obs0:1', 'obs1:3'), 1):   1.0 
(('obs0:1', 'obs1:4'), 0):   1.0 
(('obs0:1', 'obs1:4'), 1):   103.0 
(('obs0:1', 'obs1:5'), 0):   87.0 
(('obs0:1', 'obs1:5'), 1):   -9.0 
(('obs0:1', 'obs1:6'), 0):   1.0 
(('obs0:1', 'obs1:6'), 1):   97.0 
(('obs0:1', 'obs1:7'), 0):   69.0 
(('obs0:1', 'obs1:7'), 1):   -9.0 
(('obs0:1', 'obs1:8'), 0):   -9.0 
(('obs0:1', 'obs1:8'), 1):   112.0 
